iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
BHS,North America,Bahamas,02/05/21,10519,66,67,209,10,1.857,26749.024,167.833,170.376,531.471,25.429,4.723,1.37,,,,,,,,,,,,,,,,,,25692,25692,,,541,6.53,6.53,,1376,59.72,393248,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
BHR,Asia,Bahrain,02/05/21,179297,1300,1132.429,651,3,3.857,105370.705,763.994,665.515,382.585,1.763,2.267,1.03,,,,,,,,,19055,4079066,2397.218,11.198,15901,9.345,0.069,14.6,units unclear,1264087,717024,547063,17848,11907,74.29,42.14,32.15,6998,56.48,1701583,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852
BGD,Asia,Bangladesh,02/05/21,761943,1359,2374.429,11579,69,75.143,4626.546,8.252,14.418,70.308,0.419,0.456,0.65,,,,,,,,,24928,5444255,33.058,0.151,23940,0.145,0.125,8,tests performed,8625350,5819656,2805694,107549,125527,5.24,3.53,1.7,762,88.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632
BRB,North America,Barbados,02/05/21,3866,3,6,44,0,0,13452.993,10.439,20.879,153.112,0,0,0.95,,,,,,,,,,,,,,,,,,74608,74608,,390,269,25.96,25.96,,936,66.67,287371,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
BLR,Europe,Belarus,02/05/21,361063,1081,1159,2562,10,9.857,38210.47,114.4,122.654,271.131,1.058,1.043,0.97,,,,,,,,,19354,5832409,617.23,2.048,15569,1.648,0.08,12.5,tests performed,328500,244000,84500,,15029,3.48,2.58,0.89,1590,19.44,9449321,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823
BEL,Europe,Belgium,02/05/21,995562,2128,3020.571,24291,33,38.143,85901.207,183.613,260.627,2095.928,2.847,3.291,0.92,886,76.448,2883,248.757,,,1609.328,138.859,52621,12474082,1076.315,4.54,45153,3.896,0.079,12.7,tests performed,3902903,3070545,835126,2776,57640,33.68,26.49,7.21,4973,60.19,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BLZ,North America,Belize,02/05/21,12668,0,9.857,323,0,0.286,31859.484,0,24.79,812.331,0,0.719,1.11,,,,,,,,,,,,,,,,,,42100,42100,,1086,715,10.59,10.59,,1798,50.93,397621,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BEN,Africa,Benin,02/05/21,7821,0,14.429,99,0,0.286,645.127,0,1.19,8.166,0,0.024,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545
BTN,Asia,Bhutan,02/05/21,1111,5,12.714,1,0,0,1439.843,6.48,16.478,1.296,0,0,1.47,,,,,,,,,2206,698560,905.325,2.859,3022,3.916,0.003,289.8,samples tested,480498,480498,,76,117,62.27,62.27,,152,66.67,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654
BOL,South America,Bolivia,02/05/21,306527,0,1266.857,13009,0,26.429,26259.422,0,108.529,1114.449,0,2.264,1.23,,,,,,,,,11252,1142192,97.849,0.964,8895,0.762,0.141,7.1,tests performed,848149,614600,233549,39098,27362,7.27,5.27,2,2344,27.78,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BIH,Europe,Bosnia and Herzegovina,02/05/21,198461,0,532.571,8551,0,49.714,60491.372,0,162.329,2606.365,0,15.153,0.8,,,,,,,,,3168,903942,275.524,0.966,2833,0.864,0.176,5.7,tests performed,,63376,,,,,1.93,,,45.37,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78
BWA,Africa,Botswana,02/05/21,46934,0,154.143,712,0,3,19958.114,0,65.547,302.769,0,1.276,1.08,,,,,,,,,,,,,,,,,,47160,47160,,,1501,2.01,2.01,,638,,2351625,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BRA,South America,Brazil,02/05/21,14754910,28935,59160.429,407639,1202,2406,69415.464,136.127,278.324,1917.765,5.655,11.319,0.98,,,,,,,,,,,,,,,,,,43173356,29421191,13752165,137177,735178,20.31,13.84,6.47,3459,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
BRN,Asia,Brunei,02/05/21,227,0,0.571,3,0,0,518.877,0,1.306,6.857,0,0,0.63,,,,,,,,,,,,,,,,,,10715,10715,,,494,2.45,2.45,,1129,40.74,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838
BGR,Europe,Bulgaria,02/05/21,405194,348,1099.143,16492,48,83.571,58314.342,50.083,158.185,2373.481,6.908,12.027,0.66,738,106.211,8087,1163.858,,,,,16258,2509499,361.16,2.34,12874,1.853,0.124,8.1,tests performed,824623,608428,216195,3405,14483,11.87,8.76,3.11,2084,48.15,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816
BFA,Africa,Burkina Faso,02/05/21,13319,0,8,157,0,0.143,637.173,0,0.383,7.511,0,0.007,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452
BDI,Africa,Burundi,02/05/21,4038,20,26.429,6,0,0,339.591,1.682,2.223,0.505,0,0,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433
KHM,Asia,Cambodia,02/05/21,14520,730,649.286,103,7,4.143,868.475,43.663,38.835,6.161,0.419,0.248,1.45,,,,,,,,,,,,,,,,,,2411279,1422722,988557,76570,54759,14.42,8.51,5.91,3275,72.22,16718971,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82,0.594
CMR,Africa,Cameroon,02/05/21,72250,0,893.143,1107,0,16.571,2721.705,0,33.645,41.701,0,0.624,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563
CAN,North America,Canada,02/05/21,1240878,5966,7698.143,24269,24,45.571,32877.771,158.073,203.967,643.021,0.636,1.207,0.99,1468,38.895,4068,107.784,,,,,151954,31325175,829.978,4.026,129531,3.432,0.062,16.2,tests performed,13825476,12696698,1128778,173101,254348,36.63,33.64,2.99,6739,75.46,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CPV,Africa,Cape Verde,02/05/21,24368,241,288.429,223,3,2.857,43828.284,433.463,518.768,401.088,5.396,5.139,1.26,,,,,,,,,1204,,,2.166,,,,,tests performed,,,,,,,,,,,555988,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665
CAF,Africa,Central African Republic,02/05/21,6411,0,26.714,88,0,0.429,1327.394,0,5.531,18.22,0,0.089,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,12.96,4829764,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28,0.397
TCD,Africa,Chad,02/05/21,4828,4,8.286,170,0,0.143,293.927,0.244,0.504,10.35,0,0.009,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,25,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398
CHL,South America,Chile,02/05/21,1210920,7165,5912,26561,104,100.714,63345.196,374.813,309.266,1389.449,5.44,5.269,0.92,,,,,,,,,63239,12979820,678.996,3.308,57894,3.029,0.106,9.4,tests performed,14848435,8112125,6736310,1785,107266,77.67,42.44,35.24,5611,84.72,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHN,Asia,China,02/05/21,102530,13,20.857,4846,0,0.143,71.235,0.009,0.014,3.367,0,0,0.98,,,,,,,,,,,,,,,,,,275338000,,,4932000,7205286,19.13,,,5006,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761
COL,South America,Colombia,02/05/21,2893655,15909,17027.286,74477,485,446.571,56868.927,312.659,334.637,1463.695,9.532,8.776,1.05,,,,,,,,,89339,14675095,288.409,1.756,82827,1.628,0.236,4.2,tests performed,5112694,3412223,1700471,126223,101726,10.05,6.71,3.34,1999,88.89,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767
COM,Africa,Comoros,02/05/21,3839,1,1.429,146,0,0,4414.699,1.15,1.643,167.894,0,0,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554
COG,Africa,Congo,02/05/21,10678,0,0,144,0,0,1935.089,0,0,26.096,0,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57,0.574
CRI,North America,Costa Rica,02/05/21,250991,0,1747.286,3231,0,12.571,49270.786,0,343.001,634.261,0,2.468,1.34,,,,,,,,,4526,798469,156.743,0.888,5012,0.984,0.27,3.7,people tested,818884,538682,280202,,17222,16.08,10.57,5.5,3381,62.04,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81
CIV,Africa,Cote d'Ivoire,02/05/21,46114,0,37.429,286,0,0.571,1748.181,0,1.419,10.842,0,0.022,0.75,,,,,,,,,1653,590207,22.375,0.063,1773,0.067,0.02,50.5,samples tested,163176,163176,,4195,6329,0.62,0.62,,240,25.93,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538
HRV,Europe,Croatia,02/05/21,335173,944,1792.429,7182,52,46.857,81644.609,229.948,436.617,1749.459,12.667,11.414,0.87,,,2288,557.333,,,1736.929,423.098,9282,1804187,439.481,2.261,8739,2.129,0.229,4.4,people tested,908839,708137,200702,1264,16177,22.14,17.25,4.89,3941,49.07,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851
CYP,Europe,Cyprus,02/05/21,66372,463,574.714,313,1,2.143,75775.86,528.6,656.142,357.347,1.142,2.446,0.93,38,43.384,301,343.647,16.768,19.144,205.164,234.233,40811,5142725,5871.368,46.593,53116,60.642,0.015,65.2,tests performed,236265,176082,60183,4698,4832,26.97,20.1,6.87,5517,69.44,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887
CZE,Europe,Czechia,02/05/21,1634114,1182,2104.429,29343,27,54.429,152592.842,110.375,196.511,2740.036,2.521,5.083,0.78,725,67.7,3178,296.76,1378.937,128.765,5914.308,552.275,170010,,,15.875,156344,14.599,0.014,71.4,tests performed,3201704,2195779,1012157,19796,53057,29.9,20.5,9.45,4954,56.48,10708982,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9
COD,Africa,Democratic Republic of Congo,02/05/21,29965,61,55.571,768,0,1.714,334.575,0.681,0.62,8.575,0,0.019,1.02,,,,,,,,,289,,,0.003,368,0.004,0.208,4.8,samples tested,1700,1700,,,243,0,0,,3,28.7,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48
DNK,Europe,Denmark,02/05/21,253607,867,755.857,2491,1,2.143,43784.204,149.684,130.496,430.061,0.173,0.37,1.09,40,6.906,181,31.249,,,189.003,32.631,,,,,,,,,,2007041,1350867,656174,13365,32342,34.65,23.32,11.33,5584,56.48,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94
DJI,Africa,Djibouti,02/05/21,11157,36,50.714,146,1,1.429,11292.487,36.437,51.33,147.773,1.012,1.446,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524
DOM,North America,Dominican Republic,02/05/21,267455,594,370.286,3493,6,5.571,24654.993,54.757,34.134,321.998,0.553,0.514,0.88,,,,,,,,,2967,1399642,129.024,0.274,2996,0.276,0.173,5.8,samples tested,1982185,1185502,796683,12167,36563,18.27,10.93,7.34,3371,70.37,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
ECU,South America,Ecuador,02/05/21,387299,2710,1991,18740,16,80.429,21951.918,153.601,112.849,1062.174,0.907,4.559,1.06,,,,,,,,,6377,1217273,68.994,0.361,5321,0.302,0.398,2.5,people tested,1034338,791651,242687,46886,43089,5.86,4.49,1.38,2442,,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759
EGY,Africa,Egypt,02/05/21,229635,1051,1016,13469,67,60,2243.967,10.27,9.928,131.618,0.655,0.586,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707
SLV,North America,El Salvador,02/05/21,69198,0,104.286,2132,8,4.143,10668.495,0,16.078,328.698,1.233,0.639,0.72,,,,,,,,,2487,892564,137.61,0.383,2308,0.356,0.066,15.2,tests performed,915725,839870,75855,40656,31022,14.12,12.95,1.17,4783,,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
GNQ,Africa,Equatorial Guinea,02/05/21,7694,0,19.286,112,0,0.714,5484.022,0,13.746,79.83,0,0.509,0.78,,,,,,,,,,,,,,,,,,75518,64646,10872,,3557,5.38,4.61,0.77,2535,,1402985,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592
ERI,Africa,Eritrea,02/05/21,3671,0,9.429,10,0,0,1035.126,0,2.659,2.82,0,0,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,64.81,3546427,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459
EST,Europe,Estonia,02/05/21,122685,235,352.857,1168,2,3.571,92485.031,177.153,265.998,880.487,1.508,2.692,0.85,62,46.738,409,308.321,40.925,30.851,245.549,185.105,4702,1283679,967.69,3.545,4125,3.11,0.084,11.8,tests performed,464935,339651,125284,2443,7630,35.05,25.6,9.44,5752,50,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
SWZ,Africa,Eswatini,02/05/21,18458,0,2.286,671,0,0,15909.82,0,1.97,578.367,0,0,0.13,,,,,,,,,,,,,,,,,,34897,34897,,253,491,3.01,3.01,,423,62.96,1160164,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611
ETH,Africa,Ethiopia,02/05/21,258384,322,872.143,3726,17,25,2247.529,2.801,7.586,32.41,0.148,0.217,0.68,,,,,,,,,6198,2574544,22.394,0.054,6557,0.057,0.184,5.4,tests performed,,,,,,,,,,43.52,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485
FJI,Oceania,Fiji,02/05/21,119,0,4,2,0,0,132.747,0,4.462,2.231,0,0,,,,,,,,,,955,49632,55.365,1.065,878,0.979,0.005,192.1,tests performed,,,,,,,,,,56.48,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743
FIN,Europe,Finland,02/05/21,87228,132,203.429,914,0,1.571,15743.086,23.824,36.715,164.961,0,0.284,0.84,31,5.595,132,23.824,,,,,124,4471333,806.995,0.022,12520,2.26,0.018,57.1,tests performed,1863380,1694744,168636,2195,25760,33.63,30.59,3.04,4649,52.31,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
FRA,Europe,France,02/05/21,5713393,9888,22038.857,104980,113,280.429,83838.399,145.097,323.398,1540.478,1.658,4.115,0.9,5978,87.721,30287,444.432,2954.879,43.36,12108.019,177.673,414890,,,6.088,300669,4.412,0.096,10.4,people tested,22284791,15782608,6562111,208438,383156,32.7,23.16,9.63,5622,75,68147687,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
GAB,Africa,Gabon,02/05/21,23075,0,91.714,139,0,0.143,10367.394,0,41.206,62.451,0,0.064,1.06,,,,,,,,,,,,,,,,,,8897,6895,2002,,448,0.4,0.31,0.09,201,71.3,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703
GMB,Africa,Gambia,02/05/21,5901,3,6.286,175,1,0.286,2441.796,1.241,2.601,72.414,0.414,0.118,0.91,,,,,,,,,,,,,,,,,,20922,20922,,,279,0.87,0.87,,115,38.89,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496
GEO,Asia,Georgia,02/05/21,312445,988,1242,4151,21,18,78323.212,247.67,311.343,1040.566,5.264,4.512,1.12,,,,,,,,,31958,4156000,1041.819,8.011,25898,6.492,0.047,21.2,tests performed,45338,45338,,1770,1492,1.14,1.14,,374,64.81,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812
DEU,Europe,Germany,02/05/21,3432676,8776,17997.714,83292,85,231.571,40970.57,104.746,214.811,994.128,1.015,2.764,0.98,5040,60.155,,,,,2434.938,29.062,,55421229,661.478,,201323,2.403,0.125,8,tests performed,30147919,23492053,6655866,250114,653826,35.98,28.04,7.94,7804,75,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947
GHA,Africa,Ghana,02/05/21,92601,0,62.143,779,0,0.286,2980.117,0,2,25.07,0,0.009,0.96,,,,,,,,,11815,1087417,34.996,0.38,4137,0.133,0.019,53.2,samples tested,849527,849527,,,710,2.73,2.73,,23,50.93,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GRC,Europe,Greece,02/05/21,346422,0,1899,10453,0,63.714,33236.126,0,182.192,1002.873,0,6.113,0.87,,,,,319.93,30.694,,,71099,8079691,775.175,6.821,55319,5.307,0.043,23.5,samples tested,3115339,2170847,944492,17646,41959,29.89,20.83,9.06,4026,87.96,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.888
GRD,North America,Grenada,02/05/21,160,0,0.143,1,0,0,1421.982,0,1.27,8.887,0,0,-0,,,,,,,,,,,,,,,,,,15397,12666,2731,694,376,13.68,11.26,2.43,3342,,112519,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779
GTM,North America,Guatemala,02/05/21,228684,207,998,7558,15,21.143,12764.542,11.554,55.706,421.868,0.837,1.18,1.02,,,,,,,,,9775,1251067,69.831,0.546,7598,0.424,0.156,6.4,people tested,171267,169369,1898,434,812,0.96,0.95,0.01,45,58.33,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
GIN,Africa,Guinea,02/05/21,22304,57,50.143,145,1,0.714,1698.344,4.34,3.818,11.041,0.076,0.054,0.98,,,,,,,,,,,,,,,,,,143534,95312,48222,2240,2373,1.09,0.73,0.37,181,61.11,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477
GNB,Africa,Guinea-Bissau,02/05/21,3736,0,1.429,67,0,0,1898.376,0,0.726,34.045,0,0,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48
GUY,South America,Guyana,02/05/21,13518,114,116.429,299,1,2.143,17186.25,144.935,148.023,380.137,1.271,2.724,1.13,,,,,,,,,,,,,,,,,,126800,124000,2800,,4743,16.12,15.76,0.36,6030,60.19,786559,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682
HTI,North America,Haiti,02/05/21,13094,38,19.429,254,0,0.429,1148.341,3.333,1.704,22.276,0,0.038,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,32.41,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51
HND,North America,Honduras,02/05/21,213167,0,894.286,5318,0,25.286,21522.003,0,90.29,536.922,0,2.553,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27,0.634
HUN,Europe,Hungary,02/05/21,782892,1593,1910.571,27802,101,168.143,81041.784,164.901,197.775,2877.95,10.455,17.405,0.63,,,6284,650.494,,,,,23748,4922704,509.578,2.458,20001,2.07,0.111,9,tests performed,6150309,4073149,2077160,69755,125906,63.67,42.16,21.5,13033,66.67,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854
ISL,Europe,Iceland,02/05/21,6472,0,11.714,29,0,0,18965.568,0,34.328,84.982,0,0,1.01,,,5,14.652,,,4.686,13.731,1398,348819,1022.18,4.097,1545,4.527,0.008,124.3,tests performed,145261,109409,36228,12197,4366,42.57,32.06,10.62,12794,50,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
IND,Asia,India,02/05/21,19925517,368060,373193.429,218959,3417,3405.143,14438.735,266.709,270.429,158.665,2.476,2.467,1.31,,,,,,,,,1920107,286392086,207.53,1.391,1706633,1.237,0.212,4.7,samples tested,154211511,126704151,27507360,585186,2146620,11.17,9.18,1.99,1556,73.61,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
IDN,Asia,Indonesia,02/05/21,1677274,4394,5154.286,45796,144,171.714,6132.099,16.064,18.844,167.43,0.526,0.628,0.98,,,,,,,,,55483,9769757,35.718,0.203,43093,0.158,0.12,8.4,people tested,20172516,12469406,7703110,178339,228792,7.38,4.56,2.82,836,68.98,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718
IRN,Asia,Iran,02/05/21,2534855,18698,19807.286,72484,394,415.714,30179.377,222.614,235.821,862.977,4.691,4.949,0.92,,,,,,,,,121490,15693870,186.847,1.446,119961,1.428,0.171,5.8,tests performed,1068123,858296,209827,65532,50809,1.27,1.02,0.25,605,81.48,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783
IRQ,Asia,Iraq,02/05/21,1074930,4564,6229.714,15536,38,39.857,26724.592,113.469,154.881,386.251,0.945,0.991,0.89,,,,,,,,,45787,9244746,229.84,1.138,43730,1.087,0.163,6.1,samples tested,298377,298377,,,14352,0.74,0.74,,357,73.15,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674
IRL,Europe,Ireland,02/05/21,249838,401,457.857,4906,0,4.714,50597.068,81.21,92.725,993.561,0,0.955,1.08,45,9.113,174,35.238,15.914,3.223,112.394,22.762,19880,4472564,905.781,4.026,17383,3.52,0.025,40.3,tests performed,1591888,1146562,445326,19109,29448,32.24,23.22,9.02,5964,80.56,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
ISR,Asia,Israel,03/05/21,838554,73,75.714,6366,3,2,96880.599,8.434,8.747,735.483,0.347,0.231,0.54,64,7.394,173,19.987,38,4.39,55,6.354,34637,16101570,1860.262,4.002,31570,3.647,0.003,368.3,tests performed,10458345,5403739,5054606,9053,8715,120.83,62.43,58.4,1007,43.52,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ITA,Europe,Italy,02/05/21,4044762,9145,11726.857,121177,144,277,66897.779,151.252,193.955,2004.19,2.382,4.581,0.91,2862,47.336,23524,389.072,,,4021.564,66.514,330075,58240981,963.269,5.459,284418,4.704,0.044,22.6,tests performed,20755863,14593168,6249347,358474,417028,34.33,24.14,10.34,6897,75,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892
JAM,North America,Jamaica,02/05/21,45867,90,123.286,784,5,3.429,15489.533,30.393,41.634,264.761,1.689,1.158,0.82,,,,,,,,,1325,329778,111.368,0.447,1373,0.464,0.099,10.1,samples tested,,,,,,,,,,74.07,2961161,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734
JPN,Asia,Japan,02/05/21,605150,5897,5218.429,10342,61,57.571,4784.685,46.625,41.26,81.77,0.482,0.455,1.11,,,,,,,,,91921,11154934,88.198,0.727,72913,0.576,0.069,14.5,people tested,3489719,2493961,995758,224954,138953,2.76,1.97,0.79,1099,47.69,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919
JOR,Asia,Jordan,02/05/21,712901,824,1535.286,8897,26,40.286,69870.746,80.759,150.472,871.986,2.548,3.948,0.69,,,,,,,,,18755,6668395,653.563,1.838,17375,1.703,0.106,9.4,tests performed,919922,699328,220594,,18787,9.02,6.85,2.16,1841,70.37,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
KAZ,Asia,Kazakhstan,02/05/21,381078,2637,2786.143,3349,8,4.857,20295.252,140.44,148.383,178.359,0.426,0.259,1.08,,,,,,,,,63808,10128374,539.412,3.398,50884,2.71,0.055,18.1,tests performed,1559836,1293379,266457,425854,95239,8.31,6.89,1.42,5072,62.96,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825
