iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
STP,Africa,Sao Tome and Principe,02/05/21,2310,8,1.714,35,0,0,10540.196,36.503,7.822,159.7,0,0,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,219161,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625
SAU,Asia,Saudi Arabia,02/05/21,419348,937,1018.857,6979,11,11.286,12045.43,26.915,29.266,200.466,0.316,0.324,1.04,,,,,,,,,63731,16838619,483.676,1.831,60654,1.742,0.017,58.6,tests performed,9557948,,,85887,188969,27.45,,,5428,50,34813867,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854
SEN,Africa,Senegal,02/05/21,40433,45,42.571,1110,1,1.143,2414.786,2.688,2.542,66.293,0.06,0.068,0.87,,,,,,,,,1309,489922,29.26,0.078,1276,0.076,0.036,27.9,tests performed,413031,413031,,1688,2132,2.47,2.47,,127,,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SRB,Europe,Serbia,02/05/21,691920,989,1750.429,6409,23,26,101684.215,145.343,257.242,941.863,3.38,3.821,0.75,,,,,,,,,13832,3814540,560.583,2.033,12563,1.846,0.172,5.8,people tested,3525819,2028302,1497517,11214,38969,51.82,29.81,22.01,5727,50.93,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806
SYC,Africa,Seychelles,02/05/21,5873,0,84.143,28,0,0.286,59721.375,0,855.632,284.726,0,2.905,1.43,,,,,,,,,,,,,,,,,,126840,67680,59160,1301,961,128.98,68.82,60.16,9772,43.52,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796
SLE,Africa,Sierra Leone,02/05/21,4062,5,2.571,79,0,0,509.215,0.627,0.322,9.903,0,0,0.91,,,,,,,,,,,,,,,,,,61107,55083,6024,,721,0.77,0.69,0.08,90,50.93,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452
SGP,Asia,Singapore,02/05/21,61218,39,30.286,31,0,0.143,10464.002,6.666,5.177,5.299,0,0.024,1.06,,,,,,,,,,9536636,1630.099,,36835,6.296,0.001,1289.2,samples tested,,,,,,,,,,50.93,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938
SVK,Europe,Slovakia,02/05/21,383098,378,455.286,11766,34,38.714,70169.057,69.235,83.391,2155.086,6.228,7.091,0.79,,,1442,264.12,,,,,140718,34035158,6233.953,25.774,284678,52.142,0.004,250,tests performed,1623934,1115253,508681,15085,21410,29.74,20.43,9.32,3922,64.81,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86
SVN,Europe,Slovenia,02/05/21,241672,363,663.429,4263,5,7.857,116248.15,174.609,319.12,2050.572,2.405,3.779,0.97,157,75.52,630,303.04,78.362,37.693,401.729,193.238,4442,1174592,564.998,2.137,3323,1.598,0.194,5.2,tests performed,640902,427449,213453,3439,7835,30.83,20.56,10.27,3769,56.48,2078932,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32,0.917
SOM,Africa,Somalia,02/05/21,13915,0,35,713,0,2.143,875.531,0,2.202,44.862,0,0.135,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,15893219,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,
ZAF,Africa,South Africa,02/05/21,1584064,1222,1227.571,54417,11,38.429,26708.801,20.604,20.698,917.522,0.185,0.648,1.06,,,,,,,,,34923,10625030,179.148,0.589,25337,0.427,0.046,21.7,people tested,318670,318670,318670,1014,3142,0.54,0.54,0.54,53,,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709
KOR,Asia,South Korea,02/05/21,123728,488,620.143,1834,1,2.429,2413.302,9.518,12.096,35.772,0.02,0.047,0.94,,,,,,,,,40394,8765781,170.976,0.788,36027,0.703,0.018,56.1,people tested,3633353,3396864,236489,2061,180223,7.09,6.63,0.46,3515,58.33,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916
SSD,Africa,South Sudan,02/05/21,10583,0,7.286,115,0,0.143,945.44,0,0.651,10.274,0,0.013,0.79,,,,,,,,,677,149965,13.397,0.06,624,0.056,0.015,65.2,tests performed,,,,,,,,,,,11193729,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433
ESP,Europe,Spain,02/05/21,3524077,0,7922.857,78216,0,89.286,75373.615,0,169.456,1672.898,0,1.91,1.03,,,,,43.463,0.93,900.866,19.268,,39533769,845.556,,120266,2.572,0.072,14,tests performed,16364595,11763360,4689766,504823,350662,35,25.16,10.03,7500,67.59,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,,2.97,83.56,0.904
LKA,Asia,Sri Lanka,02/05/21,111753,1891,1482,696,9,7.714,5218.871,88.31,69.209,32.503,0.42,0.36,1.77,,,,,,,,,23730,2743851,128.138,1.108,15488,0.723,0.072,14,tests performed,1016195,928107,88088,24896,12066,4.75,4.33,0.41,563,59.26,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,76.98,0.782
SDN,Africa,Sudan,02/05/21,33944,0,38.714,2349,0,7,774.106,0,0.883,53.57,0,0.16,0.61,,,,,,,,,,,,,,,,,,140227,140227,,,3094,0.32,0.32,,71,,43849269,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51
SUR,South America,Suriname,02/05/21,10489,61,63.429,207,3,1.286,17879.973,103.983,108.123,352.861,5.114,2.192,1.27,,,,,,,,,,,,,,,,,,39953,39953,,1193,493,6.81,6.81,,840,70.37,586634,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738
SWE,Europe,Sweden,02/05/21,973604,0,5037.286,14048,0,17.857,96403.403,0,498.777,1390.992,0,1.768,1.05,385,38.122,2102,208.134,201.446,19.947,,,46636,,,4.618,46636,4.618,0.117,8.5,tests performed,3266894,2511121,755773,123960,67159,32.35,24.86,7.48,6650,65.74,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945
CHE,Europe,Switzerland,02/05/21,659974,0,1923.571,10634,1,9.143,76256.861,0,222.26,1228.708,0.116,1.056,1.01,,,,,,,,,23965,6470107,747.59,2.769,25613,2.959,0.081,12.3,tests performed,2629843,1703819,926024,121157,50887,30.39,19.69,10.7,5880,50.93,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955
TJK,Asia,Tajikistan,02/05/21,13308,0,0,90,0,0,1395.313,0,0,9.436,0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TZA,Africa,Tanzania,02/05/21,509,0,0,21,0,0,8.521,0,0,0.352,0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529
